#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
9.02134e+19	4.6852e+03	3.041e-22	1.0000e+01	1.0870e+01	1.5214e-18	6.7400e-05	9.9993e-01	6.8151e-04	9.9932e-01	6.3654e-15	3.1075e-26	1.9391e-07	1.2561e-02	9.8430e-01	3.1378e-03	2.5501e-06	7.3272e-02	9.2673e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.3861e-35	0.00e+00	0.00e+00	3.9026e-01
9.92347e+19	4.6780e+03	3.017e-22	1.0000e+01	1.0870e+01	1.5087e-18	6.8024e-05	9.9993e-01	6.9927e-04	9.9930e-01	5.2079e-15	3.3527e-26	1.9983e-07	1.2882e-02	9.8431e-01	2.8057e-03	2.7416e-06	7.7503e-02	9.2249e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.4078e-35	0.00e+00	0.00e+00	4.3084e-01
1.09158e+20	4.6736e+03	2.992e-22	1.0000e+01	1.0870e+01	1.4364e-18	6.8781e-05	9.9993e-01	7.2047e-04	9.9928e-01	4.2110e-15	3.5700e-26	2.0683e-07	1.3263e-02	9.8426e-01	2.4735e-03	2.9772e-06	8.2647e-02	9.1735e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.2445e-35	0.00e+00	0.00e+00	4.7598e-01
1.20074e+20	4.6718e+03	2.967e-22	1.0000e+01	1.0870e+01	1.3932e-18	6.9700e-05	9.9993e-01	7.4590e-04	9.9925e-01	3.3537e-15	3.9078e-26	2.1538e-07	1.3717e-02	9.8414e-01	2.1456e-03	3.2677e-06	8.8900e-02	9.1110e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.1909e-35	0.00e+00	0.00e+00	5.2630e-01
1.32081e+20	4.6848e+03	2.937e-22	1.0000e+01	1.0870e+01	1.3447e-18	7.0689e-05	9.9993e-01	7.7573e-04	9.9922e-01	2.6275e-15	4.3400e-26	2.2526e-07	1.4240e-02	9.8393e-01	1.8291e-03	3.6240e-06	9.6518e-02	9.0348e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.1593e-35	0.00e+00	0.00e+00	5.8243e-01
1.45290e+20	4.7144e+03	2.902e-22	1.0000e+01	1.0870e+01	1.2731e-18	7.1767e-05	9.9993e-01	8.1145e-04	9.9919e-01	2.0179e-15	4.8758e-26	2.3693e-07	1.4854e-02	9.8362e-01	1.5268e-03	4.0706e-06	1.0600e-01	8.9399e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.1030e-35	0.00e+00	0.00e+00	6.4512e-01
1.59818e+20	4.7524e+03	2.865e-22	1.0000e+01	1.0870e+01	1.2615e-18	7.3077e-05	9.9993e-01	8.5590e-04	9.9914e-01	1.5104e-15	5.7833e-26	2.5145e-07	1.5610e-02	9.8315e-01	1.2406e-03	4.6579e-06	1.1827e-01	8.8172e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.3012e-35	0.00e+00	0.00e+00	7.1533e-01
1.75800e+20	4.8072e+03	2.824e-22	1.0000e+01	1.0870e+01	1.2092e-18	7.4591e-05	9.9993e-01	9.1122e-04	9.9909e-01	1.0960e-15	6.9644e-26	2.6930e-07	1.6538e-02	9.8249e-01	9.7568e-04	5.4452e-06	1.3450e-01	8.6550e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.4316e-35	0.00e+00	0.00e+00	7.9417e-01
1.93380e+20	4.8867e+03	2.777e-22	1.0000e+01	1.0869e+01	1.1389e-18	7.6298e-05	9.9992e-01	9.8163e-04	9.9902e-01	7.6523e-16	8.6806e-26	2.9166e-07	1.7694e-02	9.8157e-01	7.3670e-04	6.5340e-06	1.5664e-01	8.4335e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.6087e-35	0.00e+00	0.00e+00	8.8287e-01
2.12718e+20	4.9997e+03	2.721e-22	1.0000e+01	1.0869e+01	1.0989e-18	7.8192e-05	9.9992e-01	1.0729e-03	9.9893e-01	5.0830e-16	1.1595e-25	3.2023e-07	1.9165e-02	9.8031e-01	5.2763e-04	8.1031e-06	1.8812e-01	8.1187e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.1727e-35	0.00e+00	0.00e+00	9.8287e-01
